MNXM1565@MNXC3,MNXM42@MNXC3,MNXM97@MNXC3,MNXM61@MNXC3,MNXM76@MNXC3,MNXM134@MNXC3,MNXM231@MNXC3,MNXM286@MNXC3,MNXM89557@MNXC3,MNXM227@MNXC3,MNXM4708@MNXC3,MNXM94@MNXC3,MNXM338@MNXC3,MNXM287@MNXC3,MNXM105630@MNXC3,MNXM91@MNXC3,MNXM461@MNXC3,MNXM685@MNXC3,MNXM362@MNXC3,MNXM58@MNXC3
0.031777412,0,0.0013884222144434314,0.0012149523167355105,0.0010902390081044347,0,0.002292988364387816,0,0.0024846443040632093,0,0,0,0.0034884019999999994,0,0,0,0.005102085999999999,0.005102085999999998,0,0
0,0,0.001020399355360328,0,0,0,0.0016851962065501723,0,0.004232204322153088,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0019888561021558053,0.001745410617587774,0.0015617212700288021,0.0010712008363743095,0.0032846088554648184,0,0.008363733421481936,0,0,0,0,0,0,0.0015521387592489473,0,0,0,0
0,0,0.0030745397483243364,0.002698201400847524,0.002414239077076761,0.001655951652963318,0.005077622495100739,0,0.011438639565911084,0,0,0,0,0,0,0.0016540668441542292,0,0,0,0
0,-0.1508974518127083,0,0,0,0,0.0013013370499372254,0,0.0032171022918518763,0,0,0,0.0012240229999999999,0,0,0.0018404624248063266,0,0,0,0
0.05253825841621239,-0.634499326121295,0.0022701755926267234,0.0019922952590005383,0.0017826234416167192,0.0012227199297638193,0.0037492098331896716,0,0.0034544354697129197,0.011641769,0.011641769,0,0.0020716804214237737,0,0,0,0,0,0,0
0,-0.5871062928610492,0.0022799457207658713,0.002000869476798788,0.00179029529726745,0.0012279821352209135,0.0037653452636866726,0,0.0034693022832306937,0,0,0,0.007863091999999978,0,0,0,0,0,0,0
0.021128799,-0.5835149863287266,0,0,0,0,0.0015756910427870852,0,0.0014518053855850004,0.005311721000000001,0.005311721000000001,0,0.003402517,0,0,0.006400538637726421,0.0026179279999999994,0.0026179279999999994,0,0
0,-0.9033512070691041,0.013093500121394522,0.011490793179303876,0.010281486738302306,0.007052178519050127,0.021624001053241096,0.03051399685393345,0.01992385584134426,0.007031336108397315,0.007031336108397315,0.004231009362706451,0.0051806099999999996,0,0,0.07952550624766384,0.002592042,0.0025920419999999997,0,0
0,-0.688125009905152,0.0027537379248839433,0.0024166672525662847,0.0021623339590605166,0.0014831673166771167,0.004547816186348981,0.01936406819223638,0.0041902529447097915,0.012713178999999991,0.01271317899999999,0,0,0,0,0.04113325014876351,0,0,0,0
0,-0.6824933544049813,0.001545104548969194,0.0013559763736203838,0.0012132716066926882,0,0.0025517502642157523,0.0273762812558974,0.0023511238406886087,0,0,0,0,0,0,0.05610205629783044,0,0,0,0
0,-0.6857985920465599,0.0021767686297753815,0.0019103217544616028,0.0017092769383198693,0.0011724108015060814,0.0035949476233641184,0.03404952536364836,0.008887255026490359,0,0,0,0,0,0.0011920499818100405,0.07000023970604098,0,0,0,0
0,-0.7053285803860717,0.0033065288289207476,0.0029017939101288626,0.0025964052384139873,0.00178090131467852,0.005460753978405215,0.03366695241032176,0.013499810936768284,0,0,0.001068465597702418,0,0,0.0018107333854657872,0.07022182597195135,0,0,0,0
0,-0.6433857293440739,0.0015696957391732043,0.0013775574847096556,0.0012325814927903384,0,0.0025923627756100965,0.009853250836916422,0.006408713428337299,0,0,0,0,0,0,0.02107747339700087,0,0,0,0
0,-0.7037995112562314,0.0027663242725647916,0.0024277129711856413,0.002172217211480766,0.00148994634214206,0.004568602621830995,0.03654021202688088,0.011294277655401279,0.0014855428697354242,0.0014855428697354242,0,0,0,0,0.07551055893475829,0.002344186,0.002344186,0,0
0,-0.688265929374958,0,0.0020192469986840705,0.0018067387441729876,0.0012392608662058372,0.003799929086265524,0.03556945595300173,0.009394000249888252,0.0012355982839540147,0.0012355982839540147,0,0,0,0,0.07316017332493618,0,0,0,0
0,-0.6792953327708496,0.0010132009877078525,0,0,0,0.0016733080553105865,0.022684081893722213,0.004136670956976271,0,0,0,0,0,0,0.04625823119064593,0,0,0,0
0,-0.7342241589573595,0.0020078304064453487,0.001762062376421615,0.00157662057549432,0.0010814204247108152,0.0033159450430493118,0.005433778073873494,0.0081975183893854,0.0010782243331030569,0.0010782243331030567,0,0,0,0,0.012631376374540274,0,0,0,0
0,-0.8074791766090048,0,0,0,0,0,0,0.3696391795056242,0,0,0,0,0,0,0,0,0,0,0
0,-1.3055248507681605,0,0,0,0,0.0014967678005973718,0,2.2704567637762465,0,0,0,0,0,0,0.0019138250165556107,0,0,0,0
0,-1.3551927393043757,0.001968998195480752,0.0017279834135200006,0.0015461281282227845,0.001060505338486904,0.0032518133927638337,0,2.3934097693863174,0,0,0,0,0,0,0.004304187612065657,0,0,0,0
0,-1.3933262195413603,0.002781445968015074,0.002440983698900051,0.0021840913100633656,0.0014980909096631505,0.004593576200729842,0,2.488350919060565,0,0,0,0,0,0,0.00682051591910741,0,0,0,0
0,-1.418736924482419,0.0033034977928106156,0.002899133887313143,0.002594025159956683,0.0017792687941493902,0.0054557482024530065,0,2.5475902412188787,0,0,0.001067486154311287,0,0,0,0.007156531588852465,0,0,0,0
0,-1.495474021732073,0.004947490603617838,0.004341894127287561,0.00388494738285109,0.002664725752056589,0.008170813077606493,0,2.741302899658793,0,0,0.0015987229443413186,0,0,0,0.01172672726610517,0,0,0,0
0,-2.0996206956484955,0.016938965832788828,0.01486555552383046,0.01330108458057016,0.009123352035238282,0.027974812816515947,0.00504028124893783,4.216304551940705,0,0,0.00547362602578577,0,0,0,0.035889980338938796,0,0,0,0
0,-1.5033446162918094,0.005116987825747259,0.004490644080004426,0.0040180426916184685,0.0027560172064314686,0.008450738848093114,0.0015225875088096163,2.768168562380465,0,0,0.0016534939625666525,0,0,0.0026873349536930555,0.015495309660257556,0,0,0,0
0,-1.5056928627306545,0.005149498684196243,0.004519175454125581,0.004043571385771675,0.0027735276028468003,0.008504430743371283,0.001532261291249752,2.77358077194396,0,0,0.001663999461112646,0,0,0.002704408976392005,0.01559375934122793,0,0,0,0
0,-1.4197851270762798,0.0033580094171918383,0.0029469730285530803,0.002636829645996522,0.0018086288356154335,0.0055457745065049975,0,2.558397965523209,0,0,0.0010851009395860377,0,0,0.001763556293068252,0.010168755043665196,0,0,0,0
0,-1.4025963118784386,0.0029733580360632784,0.002609404813354476,0.0023347875612005015,0.0016014550331815525,0.004910520235795239,0,2.5147137031123177,0,0,0,0,0,0.0015615454349823977,0.009003950188781076,0,0,0,0
0,-1.5088735837134246,0.005166555924477988,0.004534144806741004,0.004056965343699108,0.002782714657675069,0.008532600887213507,0.001537336765703115,2.780142470252996,0,0,0.0016695113061246667,0,0,0.002713367082133569,0.01564541223334531,0,0,0,0
0,-1.385978359803436,0.0026053159642586976,0.002286412848701825,0.0020457877028499383,0.0014032270292999947,0.004302696348022467,0,2.473333475104505,0,0,0,0,0,0.0013682574386705624,0.007889441797353892,0,0,0,0
0,-1.4013354237707027,0.0029288487393283784,0.00257034366709143,0.0022998372622072406,0.0015774822601703844,0.004837012841244423,0,2.5118872618398376,0,0,0,0,0,0.0015381700835153814,0.00886916672648741,0,0,0,0
0,-1.358332769727703,0.0020239284742973674,0.0017761899638931795,0.001589261356767341,0.0010900908678506687,0.003342531107352958,0,2.403242157434612,0,0,0,0,0,0.0010629248921379731,0.006128878845803227,0,0,0,0
0,-1.5032561405283797,0.005149063195761369,0.004518793271554786,0.004043229424605729,0.002773293048132076,0.00850371153137395,0.0015321317093015922,2.7675395399471125,0,0,0.0016638587381869027,0,0,0.0027041802669759644,0.01559244059114086,0,0,0,0
0,-1.4000384836500654,0.002904347940424388,0.002548841882975397,0.0022805983546062406,0.0015642860936657564,0.004796549611673023,0,2.5087046904867543,0,0,0,0,0,0.0015253027765116682,0.008794973181597733,0,0,0,0
0,-1.4789807974414246,0.004560322172518607,0.0040021169610547185,0.003580928819981737,0.0024561962627880213,0.007531401882414189,0.0013569486214304943,2.7060036599054507,0,0,0.0014736140550651372,0,0,0.002394985798607189,0.013809609602380802,0,0,0,0
0,-1.3320508780419495,0.0014785970480008957,0.0012976097083732248,0.001161047527350925,0,0.0024419126915534977,0,2.3383488576096894,0,0,0,0,0,0,0.004477501198314419,0,0,0,0
0,-1.377550610360854,0.0024236245170125878,0.0021269613022553507,0.0019031170503884575,0.0013053677472528288,0.00400263173503216,0,2.451854627432124,0,0,0,0,0,0.0012728368917398864,0.007339242083465987,0,0,0,0
0,-1.3475889531776055,0.0018073481821758817,0.001586120133793682,0.0014191947297707752,0,0.002984847338954484,0,2.377617206444371,0,0,0,0,0,0,0.005473028410544983,0,0,0,0
0,-1.373851344821944,0.0023504134218069474,0.0020627115947181164,0.001845629067994548,0.0012659361431608316,0.003881723132660139,0,2.443013007020699,0,0,0,0,0,0.0012343879561855303,0.007117543570705606,0,0,0,0
0,-1.4078266120294176,0.003068418757096276,0.0026928296481762083,0.002409432654840301,0.001652654878040371,0.0050675136380697455,0,2.527904090443224,0,0,0,0,0,0.0016114693369058668,0.00929181393969932,0,0,0,0
0,-1.3933145982621085,0.002788435557399555,0.002447117729165503,0.0021895797867805497,0.0015018555128370318,0.004605119553294889,0,2.4921896256253766,0,0,0,0,0,0.001464428017947499,0.008443966235794442,0,0,0,0
0,-1.373740834751485,0.002354249562576207,0.002066078173537956,0.0018486413435572112,0.0012680022942494025,0.003888058544220513,0,2.4425765557187544,0,0,0,0,0,0.0012364026170614733,0.0071291602075140206,0,0,0,0
0,-1.377192525220782,0.0024235758447761937,0.002126918587733123,0.0019030788311996715,0.001305341532314364,0.004002551352515545,0,2.450267090843731,0,0,0,0,0,0.0012728113300998244,0.007339094693750706,0,0,0,0
0,-1.4394942527397614,0.0037530718995585207,0.003293677976480666,0.0029470469015504355,0.0020214100725649475,0.006198222778975272,0.0011167469199709664,2.6078742603656777,0,0,0.0012127606979585352,0,0,0.0019710348437136337,0.011365086891209531,0,0,0,0
0,-1.3260772252052757,0.0013531643022654373,0.0011875305297124122,0.0010625532286629275,0,0.002234759691916484,0,2.3231828022405243,0,0,0,0,0,0,0.004097664602468748,0,0,0,0
0,-1.406291672388168,0.0030475537376847225,0.00267451860678029,0.002393048691928521,0.0016414169477444607,0.005033054922100126,0,2.5241197694076485,0,0,0,0,0,0.0016005114652276817,0.009228630295757346,0,0,0,0
